[2025-02-17 21:20:42.175] [Global_logger] [info] Logger initialized.
[2025-02-17 21:20:51.472] [Global_logger] [info] stereo_ORB_EXTRACT 7477 us,  
[2025-02-17 21:20:51.529] [Global_logger] [info] stereo_ORB_EXTRACT 10221 us,  
[2025-02-17 21:20:51.587] [Global_logger] [info] stereo_ORB_EXTRACT 11493 us,  
[2025-02-17 21:20:51.639] [Global_logger] [info] stereo_ORB_EXTRACT 9325 us,  
[2025-02-17 21:20:51.697] [Global_logger] [info] stereo_ORB_EXTRACT 11067 us,  
[2025-02-17 21:20:51.750] [Global_logger] [info] stereo_ORB_EXTRACT 10017 us,  
[2025-02-17 21:20:51.803] [Global_logger] [info] stereo_ORB_EXTRACT 6845 us,  
[2025-02-17 21:20:51.857] [Global_logger] [info] stereo_ORB_EXTRACT 6845 us,  
[2025-02-17 21:20:51.914] [Global_logger] [info] stereo_ORB_EXTRACT 9549 us,  
[2025-02-17 21:20:51.965] [Global_logger] [info] stereo_ORB_EXTRACT 6833 us,  
[2025-02-17 21:20:52.021] [Global_logger] [info] stereo_ORB_EXTRACT 6818 us,  
[2025-02-17 21:20:52.081] [Global_logger] [info] stereo_ORB_EXTRACT 10621 us,  
[2025-02-17 21:20:52.133] [Global_logger] [info] stereo_ORB_EXTRACT 8158 us,  
[2025-02-17 21:20:52.189] [Global_logger] [info] stereo_ORB_EXTRACT 8767 us,  
[2025-02-17 21:20:52.243] [Global_logger] [info] stereo_ORB_EXTRACT 6609 us,  
[2025-02-17 21:20:52.297] [Global_logger] [info] stereo_ORB_EXTRACT 6412 us,  
[2025-02-17 21:20:52.355] [Global_logger] [info] stereo_ORB_EXTRACT 8803 us,  
[2025-02-17 21:20:52.409] [Global_logger] [info] stereo_ORB_EXTRACT 9120 us,  
[2025-02-17 21:20:52.466] [Global_logger] [info] stereo_ORB_EXTRACT 11615 us,  
[2025-02-17 21:20:52.517] [Global_logger] [info] stereo_ORB_EXTRACT 8872 us,  
[2025-02-17 21:20:52.573] [Global_logger] [info] stereo_ORB_EXTRACT 10468 us,  
[2025-02-17 21:20:52.627] [Global_logger] [info] stereo_ORB_EXTRACT 8781 us,  
[2025-02-17 21:20:52.683] [Global_logger] [info] stereo_ORB_EXTRACT 9326 us,  
[2025-02-17 21:20:52.739] [Global_logger] [info] stereo_ORB_EXTRACT 9418 us,  
[2025-02-17 21:20:52.794] [Global_logger] [info] stereo_ORB_EXTRACT 7307 us,  
[2025-02-17 21:20:52.851] [Global_logger] [info] stereo_ORB_EXTRACT 9188 us,  
[2025-02-17 21:20:52.903] [Global_logger] [info] stereo_ORB_EXTRACT 7000 us,  
[2025-02-17 21:20:52.959] [Global_logger] [info] stereo_ORB_EXTRACT 6916 us,  
[2025-02-17 21:20:53.016] [Global_logger] [info] stereo_ORB_EXTRACT 9553 us,  
[2025-02-17 21:20:53.069] [Global_logger] [info] stereo_ORB_EXTRACT 7798 us,  
[2025-02-17 21:20:53.126] [Global_logger] [info] stereo_ORB_EXTRACT 8596 us,  
[2025-02-17 21:20:53.182] [Global_logger] [info] stereo_ORB_EXTRACT 8083 us,  
[2025-02-17 21:20:53.236] [Global_logger] [info] stereo_ORB_EXTRACT 8388 us,  
[2025-02-17 21:20:53.291] [Global_logger] [info] stereo_ORB_EXTRACT 8117 us,  
[2025-02-17 21:20:53.347] [Global_logger] [info] stereo_ORB_EXTRACT 9926 us,  
[2025-02-17 21:20:53.398] [Global_logger] [info] stereo_ORB_EXTRACT 7293 us,  
[2025-02-17 21:20:53.455] [Global_logger] [info] stereo_ORB_EXTRACT 8599 us,  
[2025-02-17 21:20:53.515] [Global_logger] [info] stereo_ORB_EXTRACT 12230 us,  
[2025-02-17 21:20:53.566] [Global_logger] [info] stereo_ORB_EXTRACT 9726 us,  
[2025-02-17 21:20:53.621] [Global_logger] [info] stereo_ORB_EXTRACT 9714 us,  
[2025-02-17 21:20:53.674] [Global_logger] [info] stereo_ORB_EXTRACT 8807 us,  
[2025-02-17 21:20:53.732] [Global_logger] [info] stereo_ORB_EXTRACT 11348 us,  
[2025-02-17 21:20:53.785] [Global_logger] [info] stereo_ORB_EXTRACT 10190 us,  
[2025-02-17 21:20:53.840] [Global_logger] [info] stereo_ORB_EXTRACT 10340 us,  
[2025-02-17 21:20:53.892] [Global_logger] [info] stereo_ORB_EXTRACT 7985 us,  
[2025-02-17 21:20:53.945] [Global_logger] [info] stereo_ORB_EXTRACT 7414 us,  
[2025-02-17 21:20:54.003] [Global_logger] [info] stereo_ORB_EXTRACT 9623 us,  
[2025-02-17 21:20:54.056] [Global_logger] [info] stereo_ORB_EXTRACT 8928 us,  
[2025-02-17 21:20:54.111] [Global_logger] [info] stereo_ORB_EXTRACT 7565 us,  
[2025-02-17 21:20:54.167] [Global_logger] [info] stereo_ORB_EXTRACT 7330 us,  
[2025-02-17 21:20:54.222] [Global_logger] [info] stereo_ORB_EXTRACT 7136 us,  
[2025-02-17 21:20:54.279] [Global_logger] [info] stereo_ORB_EXTRACT 7578 us,  
[2025-02-17 21:20:54.337] [Global_logger] [info] stereo_ORB_EXTRACT 11409 us,  
[2025-02-17 21:20:54.389] [Global_logger] [info] stereo_ORB_EXTRACT 10128 us,  
[2025-02-17 21:20:54.443] [Global_logger] [info] stereo_ORB_EXTRACT 7659 us,  
[2025-02-17 21:20:54.501] [Global_logger] [info] stereo_ORB_EXTRACT 11654 us,  
[2025-02-17 21:20:54.551] [Global_logger] [info] stereo_ORB_EXTRACT 7271 us,  
[2025-02-17 21:20:54.610] [Global_logger] [info] stereo_ORB_EXTRACT 10613 us,  
[2025-02-17 21:20:54.665] [Global_logger] [info] stereo_ORB_EXTRACT 11409 us,  
[2025-02-17 21:20:54.717] [Global_logger] [info] stereo_ORB_EXTRACT 6855 us,  
[2025-02-17 21:20:54.774] [Global_logger] [info] stereo_ORB_EXTRACT 9914 us,  
[2025-02-17 21:20:54.825] [Global_logger] [info] stereo_ORB_EXTRACT 7448 us,  
[2025-02-17 21:20:54.881] [Global_logger] [info] stereo_ORB_EXTRACT 6773 us,  
[2025-02-17 21:20:54.938] [Global_logger] [info] stereo_ORB_EXTRACT 10147 us,  
[2025-02-17 21:20:54.991] [Global_logger] [info] stereo_ORB_EXTRACT 9644 us,  
[2025-02-17 21:20:55.049] [Global_logger] [info] stereo_ORB_EXTRACT 11390 us,  
[2025-02-17 21:20:55.098] [Global_logger] [info] stereo_ORB_EXTRACT 6738 us,  
[2025-02-17 21:20:55.157] [Global_logger] [info] stereo_ORB_EXTRACT 8696 us,  
[2025-02-17 21:20:55.209] [Global_logger] [info] stereo_ORB_EXTRACT 6756 us,  
[2025-02-17 21:20:55.265] [Global_logger] [info] stereo_ORB_EXTRACT 6757 us,  
[2025-02-17 21:20:55.320] [Global_logger] [info] stereo_ORB_EXTRACT 7803 us,  
[2025-02-17 21:20:55.374] [Global_logger] [info] stereo_ORB_EXTRACT 7546 us,  
[2025-02-17 21:20:55.433] [Global_logger] [info] stereo_ORB_EXTRACT 9762 us,  
